,year,community_board,metric,value
11432,2019,Queens Community Board 8,Other Population,3038.7349
11433,2020,Queens Community Board 8,Other Population,3200.0
11434,2021,Queens Community Board 8,Other Population,3369.8235
11435,2022,Queens Community Board 8,Other Population,3548.6592
11436,2023,Queens Community Board 8,Other Population,3736.9858
11437,2024,Queens Community Board 8,Other Population,3935.3071
11438,2006,Queens Community Board 8,Population,147175.28
11439,2007,Queens Community Board 8,Population,148148.52
11440,2008,Queens Community Board 8,Population,149128.19
11441,2009,Queens Community Board 8,Population,150114.33
11442,2010,Queens Community Board 8,Population,151107.0
11443,2011,Queens Community Board 8,Population,152106.23
11444,2012,Queens Community Board 8,Population,153112.08
11445,2013,Queens Community Board 8,Population,154124.58
11446,2014,Queens Community Board 8,Population,155143.77
11447,2015,Queens Community Board 8,Population,156169.69
11448,2016,Queens Community Board 8,Population,157202.4
11449,2017,Queens Community Board 8,Population,158241.95
11450,2018,Queens Community Board 8,Population,159288.36
11451,2019,Queens Community Board 8,Population,160341.7
11452,2020,Queens Community Board 8,Population,161402.0
11453,2021,Queens Community Board 8,Population,162469.31
11454,2022,Queens Community Board 8,Population,163543.69
11455,2023,Queens Community Board 8,Population,164625.16
11456,2024,Queens Community Board 8,Population,165713.78
11457,2006,Queens Community Board 8,Under 18 Population,30319.51
11458,2007,Queens Community Board 8,Under 18 Population,30487.236
11459,2008,Queens Community Board 8,Under 18 Population,30655.889
11460,2009,Queens Community Board 8,Under 18 Population,30825.475
11461,2010,Queens Community Board 8,Under 18 Population,30996.0
11462,2011,Queens Community Board 8,Under 18 Population,31167.469
11463,2012,Queens Community Board 8,Under 18 Population,31339.885
11464,2013,Queens Community Board 8,Under 18 Population,31513.254
11465,2014,Queens Community Board 8,Under 18 Population,31687.584
11466,2015,Queens Community Board 8,Under 18 Population,31862.877
11467,2016,Queens Community Board 8,Under 18 Population,32039.14
11468,2017,Queens Community Board 8,Under 18 Population,32216.379
11469,2018,Queens Community Board 8,Under 18 Population,32394.6
11470,2019,Queens Community Board 8,Under 18 Population,32573.805
11471,2020,Queens Community Board 8,Under 18 Population,32754.0
11472,2021,Queens Community Board 8,Under 18 Population,32935.19
11473,2022,Queens Community Board 8,Under 18 Population,33117.387
11474,2023,Queens Community Board 8,Under 18 Population,33300.594
11475,2024,Queens Community Board 8,Under 18 Population,33484.81
11476,2006,Queens Community Board 8,White Population,56745.992
11477,2007,Queens Community Board 8,White Population,55751.402
11478,2008,Queens Community Board 8,White Population,54774.242
11479,2009,Queens Community Board 8,White Population,53814.207
11480,2010,Queens Community Board 8,White Population,52871.0
11481,2011,Queens Community Board 8,White Population,51944.324
11482,2012,Queens Community Board 8,White Population,51033.89
11483,2013,Queens Community Board 8,White Population,50139.414
11484,2014,Queens Community Board 8,White Population,49260.617
11485,2015,Queens Community Board 8,White Population,48397.223
11486,2016,Queens Community Board 8,White Population,47548.957
11487,2017,Queens Community Board 8,White Population,46715.562
11488,2018,Queens Community Board 8,White Population,45896.773
11489,2019,Queens Community Board 8,White Population,45092.336
11490,2020,Queens Community Board 8,White Population,44302.0
11491,2021,Queens Community Board 8,White Population,43525.516
11492,2022,Queens Community Board 8,White Population,42762.637
11493,2023,Queens Community Board 8,White Population,42013.133
11494,2024,Queens Community Board 8,White Population,41276.766
11495,2006,Queens Community Board 9,Asian Population,28622.223
11496,2007,Queens Community Board 9,Asian Population,29251.133
11497,2008,Queens Community Board 9,Asian Population,29893.863
11498,2009,Queens Community Board 9,Asian Population,30550.715
11499,2010,Queens Community Board 9,Asian Population,31222.0
11500,2011,Queens Community Board 9,Asian Population,31908.035
11501,2012,Queens Community Board 9,Asian Population,32609.145
11502,2013,Queens Community Board 9,Asian Population,33325.66
11503,2014,Queens Community Board 9,Asian Population,34057.918
11504,2015,Queens Community Board 9,Asian Population,34806.266
11505,2016,Queens Community Board 9,Asian Population,35571.055
11506,2017,Queens Community Board 9,Asian Population,36352.652
11507,2018,Queens Community Board 9,Asian Population,37151.42
11508,2019,Queens Community Board 9,Asian Population,37967.742
11509,2020,Queens Community Board 9,Asian Population,38802.0
11510,2021,Queens Community Board 9,Asian Population,39654.59
11511,2022,Queens Community Board 9,Asian Population,40525.91
11512,2023,Queens Community Board 9,Asian Population,41416.38
11513,2024,Queens Community Board 9,Asian Population,42326.414
11514,2006,Queens Community Board 9,Average Household Size,3.2020795
11515,2007,Queens Community Board 9,Average Household Size,3.1990554
11516,2008,Queens Community Board 9,Average Household Size,3.1960342
11517,2009,Queens Community Board 9,Average Household Size,3.1930156
11518,2010,Queens Community Board 9,Average Household Size,3.19
11519,2011,Queens Community Board 9,Average Household Size,3.1869872
11520,2012,Queens Community Board 9,Average Household Size,3.1839774
11521,2013,Queens Community Board 9,Average Household Size,3.1809702
11522,2014,Queens Community Board 9,Average Household Size,3.1779659
11523,2015,Queens Community Board 9,Average Household Size,3.1749647
11524,2016,Queens Community Board 9,Average Household Size,3.171966
11525,2017,Queens Community Board 9,Average Household Size,3.1689703
11526,2018,Queens Community Board 9,Average Household Size,3.1659772
11527,2019,Queens Community Board 9,Average Household Size,3.1629872
11528,2020,Queens Community Board 9,Average Household Size,3.16
11529,2021,Queens Community Board 9,Average Household Size,3.1570156
11530,2022,Queens Community Board 9,Average Household Size,3.154034
11531,2023,Queens Community Board 9,Average Household Size,3.151055
11532,2024,Queens Community Board 9,Average Household Size,3.1480792
11533,2006,Queens Community Board 9,Black Population,12788.002
11534,2007,Queens Community Board 9,Black Population,12585.2295
11535,2008,Queens Community Board 9,Black Population,12385.672
11536,2009,Queens Community Board 9,Black Population,12189.279
11537,2010,Queens Community Board 9,Black Population,11996.0
11538,2011,Queens Community Board 9,Black Population,11805.786
11539,2012,Queens Community Board 9,Black Population,11618.588
11540,2013,Queens Community Board 9,Black Population,11434.357
11541,2014,Queens Community Board 9,Black Population,11253.049
11542,2015,Queens Community Board 9,Black Population,11074.615
11543,2016,Queens Community Board 9,Black Population,10899.011
11544,2017,Queens Community Board 9,Black Population,10726.191
11545,2018,Queens Community Board 9,Black Population,10556.111
11546,2019,Queens Community Board 9,Black Population,10388.729
11547,2020,Queens Community Board 9,Black Population,10224.0
11548,2021,Queens Community Board 9,Black Population,10061.884
11549,2022,Queens Community Board 9,Black Population,9902.337
11550,2023,Queens Community Board 9,Black Population,9745.321
11551,2024,Queens Community Board 9,Black Population,9590.795
11552,2006,Queens Community Board 9,Hispanic Population,56788.73
11553,2007,Queens Community Board 9,Hispanic Population,57251.363
11554,2008,Queens Community Board 9,Hispanic Population,57717.766
11555,2009,Queens Community Board 9,Hispanic Population,58187.97
11556,2010,Queens Community Board 9,Hispanic Population,58662.0
11557,2011,Queens Community Board 9,Hispanic Population,59139.895
11558,2012,Queens Community Board 9,Hispanic Population,59621.684
11559,2013,Queens Community Board 9,Hispanic Population,60107.395
11560,2014,Queens Community Board 9,Hispanic Population,60597.062
11561,2015,Queens Community Board 9,Hispanic Population,61090.723
11562,2016,Queens Community Board 9,Hispanic Population,61588.402
11563,2017,Queens Community Board 9,Hispanic Population,62090.137
11564,2018,Queens Community Board 9,Hispanic Population,62595.96
11565,2019,Queens Community Board 9,Hispanic Population,63105.902
11566,2020,Queens Community Board 9,Hispanic Population,63620.0
11567,2021,Queens Community Board 9,Hispanic Population,64138.285
11568,2022,Queens Community Board 9,Hispanic Population,64660.793
11569,2023,Queens Community Board 9,Hispanic Population,65187.56
11570,2024,Queens Community Board 9,Hispanic Population,65718.61
11571,2006,Queens Community Board 9,Household Population,139259.16
11572,2007,Queens Community Board 9,Household Population,140126.23
11573,2008,Queens Community Board 9,Household Population,140998.72
11574,2009,Queens Community Board 9,Household Population,141876.62
11575,2010,Queens Community Board 9,Household Population,142760.0
11576,2011,Queens Community Board 9,Household Population,143648.88
11577,2012,Queens Community Board 9,Household Population,144543.28
11578,2013,Queens Community Board 9,Household Population,145443.27
11579,2014,Queens Community Board 9,Household Population,146348.86
11580,2015,Queens Community Board 9,Household Population,147260.08
11581,2016,Queens Community Board 9,Household Population,148176.97
11582,2017,Queens Community Board 9,Household Population,149099.58
11583,2018,Queens Community Board 9,Household Population,150027.92
11584,2019,Queens Community Board 9,Household Population,150962.05
11585,2020,Queens Community Board 9,Household Population,151902.0
11586,2021,Queens Community Board 9,Household Population,152847.8
11587,2022,Queens Community Board 9,Household Population,153799.48
11588,2023,Queens Community Board 9,Household Population,154757.1
11589,2024,Queens Community Board 9,Household Population,155720.67
11590,2006,Queens Community Board 9,Housing Units,46893.914
11591,2007,Queens Community Board 9,Housing Units,47167.777
11592,2008,Queens Community Board 9,Housing Units,47443.24
11593,2009,Queens Community Board 9,Housing Units,47720.31
11594,2010,Queens Community Board 9,Housing Units,47999.0
11595,2011,Queens Community Board 9,Housing Units,48279.316
11596,2012,Queens Community Board 9,Housing Units,48561.273
11597,2013,Queens Community Board 9,Housing Units,48844.87
11598,2014,Queens Community Board 9,Housing Units,49130.13
11599,2015,Queens Community Board 9,Housing Units,49417.055
11600,2016,Queens Community Board 9,Housing Units,49705.652
11601,2017,Queens Community Board 9,Housing Units,49995.938
11602,2018,Queens Community Board 9,Housing Units,50287.914
11603,2019,Queens Community Board 9,Housing Units,50581.6
11604,2020,Queens Community Board 9,Housing Units,50877.0
11605,2021,Queens Community Board 9,Housing Units,51174.125
11606,2022,Queens Community Board 9,Housing Units,51472.984
11607,2023,Queens Community Board 9,Housing Units,51773.59
11608,2024,Queens Community Board 9,Housing Units,52075.953
11609,2006,Queens Community Board 9,Occupied Housing,43551.74
11610,2007,Queens Community Board 9,Occupied Housing,43862.953
11611,2008,Queens Community Board 9,Occupied Housing,44176.39
11612,2009,Queens Community Board 9,Occupied Housing,44492.066
11613,2010,Queens Community Board 9,Occupied Housing,44810.0
11614,2011,Queens Community Board 9,Occupied Housing,45130.203
11615,2012,Queens Community Board 9,Occupied Housing,45452.7
11616,2013,Queens Community Board 9,Occupied Housing,45777.496
11617,2014,Queens Community Board 9,Occupied Housing,46104.613
11618,2015,Queens Community Board 9,Occupied Housing,46434.07
11619,2016,Queens Community Board 9,Occupied Housing,46765.88
11620,2017,Queens Community Board 9,Occupied Housing,47100.06
11621,2018,Queens Community Board 9,Occupied Housing,47436.63
11622,2019,Queens Community Board 9,Occupied Housing,47775.605
11623,2020,Queens Community Board 9,Occupied Housing,48117.0
11624,2021,Queens Community Board 9,Occupied Housing,48460.836
11625,2022,Queens Community Board 9,Occupied Housing,48807.13
11626,2023,Queens Community Board 9,Occupied Housing,49155.9
11627,2024,Queens Community Board 9,Occupied Housing,49507.156
11628,2006,Queens Community Board 9,Other Population,5938.673
11629,2007,Queens Community Board 9,Other Population,6153.5576
11630,2008,Queens Community Board 9,Other Population,6376.218
11631,2009,Queens Community Board 9,Other Population,6606.9346
11632,2010,Queens Community Board 9,Other Population,6846.0
11633,2011,Queens Community Board 9,Other Population,7093.7153
11634,2012,Queens Community Board 9,Other Population,7350.3945
11635,2013,Queens Community Board 9,Other Population,7616.361
11636,2014,Queens Community Board 9,Other Population,7891.951
11637,2015,Queens Community Board 9,Other Population,8177.5137
11638,2016,Queens Community Board 9,Other Population,8473.408
11639,2017,Queens Community Board 9,Other Population,8780.011
11640,2018,Queens Community Board 9,Other Population,9097.706
11641,2019,Queens Community Board 9,Other Population,9426.897
11642,2020,Queens Community Board 9,Other Population,9768.0
11643,2021,Queens Community Board 9,Other Population,10121.445
11644,2022,Queens Community Board 9,Other Population,10487.68
11645,2023,Queens Community Board 9,Other Population,10867.165
11646,2024,Queens Community Board 9,Other Population,11260.383
11647,2006,Queens Community Board 9,Population,139676.42
11648,2007,Queens Community Board 9,Population,140577.81
11649,2008,Queens Community Board 9,Population,141485.0
11650,2009,Queens Community Board 9,Population,142398.06
11651,2010,Queens Community Board 9,Population,143317.0
11652,2011,Queens Community Board 9,Population,144241.88
11653,2012,Queens Community Board 9,Population,145172.72
11654,2013,Queens Community Board 9,Population,146109.56
11655,2014,Queens Community Board 9,Population,147052.47
11656,2015,Queens Community Board 9,Population,148001.44
11657,2016,Queens Community Board 9,Population,148956.55
11658,2017,Queens Community Board 9,Population,149917.81
11659,2018,Queens Community Board 9,Population,150885.28
11660,2019,Queens Community Board 9,Population,151859.0
11661,2020,Queens Community Board 9,Population,152839.0
11662,2021,Queens Community Board 9,Population,153825.33
11663,2022,Queens Community Board 9,Population,154818.02
11664,2023,Queens Community Board 9,Population,155817.11
11665,2024,Queens Community Board 9,Population,156822.64
11666,2006,Queens Community Board 9,Under 18 Population,34987.87
11667,2007,Queens Community Board 9,Under 18 Population,34731.6
11668,2008,Queens Community Board 9,Under 18 Population,34477.21
11669,2009,Queens Community Board 9,Under 18 Population,34224.68
11670,2010,Queens Community Board 9,Under 18 Population,33974.0
11671,2011,Queens Community Board 9,Under 18 Population,33725.156
11672,2012,Queens Community Board 9,Under 18 Population,33478.137
11673,2013,Queens Community Board 9,Under 18 Population,33232.92
11674,2014,Queens Community Board 9,Under 18 Population,32989.508
11675,2015,Queens Community Board 9,Under 18 Population,32747.875
11676,2016,Queens Community Board 9,Under 18 Population,32508.012
11677,2017,Queens Community Board 9,Under 18 Population,32269.906
11678,2018,Queens Community Board 9,Under 18 Population,32033.543
11679,2019,Queens Community Board 9,Under 18 Population,31798.912
11680,2020,Queens Community Board 9,Under 18 Population,31566.0
11681,2021,Queens Community Board 9,Under 18 Population,31334.793
11682,2022,Queens Community Board 9,Under 18 Population,31105.281
11683,2023,Queens Community Board 9,Under 18 Population,30877.45
11684,2024,Queens Community Board 9,Under 18 Population,30651.285
11685,2006,Queens Community Board 9,White Population,30297.13
11686,2007,Queens Community Board 9,White Population,29713.445
11687,2008,Queens Community Board 9,White Population,29141.006
11688,2009,Queens Community Board 9,White Population,28579.596
11689,2010,Queens Community Board 9,White Population,28029.0
11690,2011,Queens Community Board 9,White Population,27489.012
11691,2012,Queens Community Board 9,White Population,26959.428
11692,2013,Queens Community Board 9,White Population,26440.045
11693,2014,Queens Community Board 9,White Population,25930.668
11694,2015,Queens Community Board 9,White Population,25431.105
11695,2016,Queens Community Board 9,White Population,24941.168
11696,2017,Queens Community Board 9,White Population,24460.668
11697,2018,Queens Community Board 9,White Population,23989.424
11698,2019,Queens Community Board 9,White Population,23527.26
11699,2020,Queens Community Board 9,White Population,23074.0
11700,2021,Queens Community Board 9,White Population,22629.473
11701,2022,Queens Community Board 9,White Population,22193.508
11702,2023,Queens Community Board 9,White Population,21765.941
11703,2024,Queens Community Board 9,White Population,21346.613
11704,2006,Staten Island Community Board 1,Asian Population,10936.381
11705,2007,Staten Island Community Board 1,Asian Population,11443.64
11706,2008,Staten Island Community Board 1,Asian Population,11974.427
11707,2009,Staten Island Community Board 1,Asian Population,12529.833
11708,2010,Staten Island Community Board 1,Asian Population,13111.0
11709,2011,Staten Island Community Board 1,Asian Population,13719.124
11710,2012,Staten Island Community Board 1,Asian Population,14355.453
11711,2013,Staten Island Community Board 1,Asian Population,15021.298
11712,2014,Staten Island Community Board 1,Asian Population,15718.026
11713,2015,Staten Island Community Board 1,Asian Population,16447.07
11714,2016,Staten Island Community Board 1,Asian Population,17209.932
11715,2017,Staten Island Community Board 1,Asian Population,18008.174
11716,2018,Staten Island Community Board 1,Asian Population,18843.441
11717,2019,Staten Island Community Board 1,Asian Population,19717.451
11718,2020,Staten Island Community Board 1,Asian Population,20632.0
11719,2021,Staten Island Community Board 1,Asian Population,21588.969
11720,2022,Staten Island Community Board 1,Asian Population,22590.322
11721,2023,Staten Island Community Board 1,Asian Population,23638.123
11722,2024,Staten Island Community Board 1,Asian Population,24734.523
11723,2006,Staten Island Community Board 1,Average Household Size,2.8180883
11724,2007,Staten Island Community Board 1,Average Household Size,2.8210616
11725,2008,Staten Island Community Board 1,Average Household Size,2.8240378
11726,2009,Staten Island Community Board 1,Average Household Size,2.8270173
11727,2010,Staten Island Community Board 1,Average Household Size,2.83
11728,2011,Staten Island Community Board 1,Average Household Size,2.8329859
11729,2012,Staten Island Community Board 1,Average Household Size,2.8359747
11730,2013,Staten Island Community Board 1,Average Household Size,2.8389668
11731,2014,Staten Island Community Board 1,Average Household Size,2.841962
11732,2015,Staten Island Community Board 1,Average Household Size,2.8449605
11733,2016,Staten Island Community Board 1,Average Household Size,2.8479621
11734,2017,Staten Island Community Board 1,Average Household Size,2.8509667
11735,2018,Staten Island Community Board 1,Average Household Size,2.8539746
11736,2019,Staten Island Community Board 1,Average Household Size,2.8569858
11737,2020,Staten Island Community Board 1,Average Household Size,2.86
11738,2021,Staten Island Community Board 1,Average Household Size,2.8630173
11739,2022,Staten Island Community Board 1,Average Household Size,2.866038
11740,2023,Staten Island Community Board 1,Average Household Size,2.869062
11741,2024,Staten Island Community Board 1,Average Household Size,2.872089
11742,2006,Staten Island Community Board 1,Black Population,38046.066
11743,2007,Staten Island Community Board 1,Black Population,38188.746
11744,2008,Staten Island Community Board 1,Black Population,38331.957
11745,2009,Staten Island Community Board 1,Black Population,38475.71
11746,2010,Staten Island Community Board 1,Black Population,38620.0
11747,2011,Staten Island Community Board 1,Black Population,38764.832
11748,2012,Staten Island Community Board 1,Black Population,38910.207
11749,2013,Staten Island Community Board 1,Black Population,39056.125
11750,2014,Staten Island Community Board 1,Black Population,39202.594
11751,2015,Staten Island Community Board 1,Black Population,39349.61
11752,2016,Staten Island Community Board 1,Black Population,39497.176
11753,2017,Staten Island Community Board 1,Black Population,39645.297
11754,2018,Staten Island Community Board 1,Black Population,39793.973
11755,2019,Staten Island Community Board 1,Black Population,39943.207
11756,2020,Staten Island Community Board 1,Black Population,40093.0
11757,2021,Staten Island Community Board 1,Black Population,40243.355
11758,2022,Staten Island Community Board 1,Black Population,40394.273
11759,2023,Staten Island Community Board 1,Black Population,40545.758
11760,2024,Staten Island Community Board 1,Black Population,40697.812
11761,2006,Staten Island Community Board 1,Hispanic Population,46883.3
11762,2007,Staten Island Community Board 1,Hispanic Population,47656.87
11763,2008,Staten Island Community Board 1,Hispanic Population,48443.2
11764,2009,Staten Island Community Board 1,Hispanic Population,49242.508
11765,2010,Staten Island Community Board 1,Hispanic Population,50055.0
11766,2011,Staten Island Community Board 1,Hispanic Population,50880.9
11767,2012,Staten Island Community Board 1,Hispanic Population,51720.426
11768,2013,Staten Island Community Board 1,Hispanic Population,52573.805
11769,2014,Staten Island Community Board 1,Hispanic Population,53441.266
11770,2015,Staten Island Community Board 1,Hispanic Population,54323.04
11771,2016,Staten Island Community Board 1,Hispanic Population,55219.36
11772,2017,Staten Island Community Board 1,Hispanic Population,56130.473
11773,2018,Staten Island Community Board 1,Hispanic Population,57056.617
11774,2019,Staten Island Community Board 1,Hispanic Population,57998.043
11775,2020,Staten Island Community Board 1,Hispanic Population,58955.0
11776,2021,Staten Island Community Board 1,Hispanic Population,59927.75
11777,2022,Staten Island Community Board 1,Hispanic Population,60916.547
11778,2023,Staten Island Community Board 1,Hispanic Population,61921.66
11779,2024,Staten Island Community Board 1,Hispanic Population,62943.36
11780,2006,Staten Island Community Board 1,Household Population,166582.25
11781,2007,Staten Island Community Board 1,Household Population,167885.81
11782,2008,Staten Island Community Board 1,Household Population,169199.56
11783,2009,Staten Island Community Board 1,Household Population,170523.6
11784,2010,Staten Island Community Board 1,Household Population,171858.0
11785,2011,Staten Island Community Board 1,Household Population,173202.84
11786,2012,Staten Island Community Board 1,Household Population,174558.2
11787,2013,Staten Island Community Board 1,Household Population,175924.17
11788,2014,Staten Island Community Board 1,Household Population,177300.84
11789,2015,Staten Island Community Board 1,Household Population,178688.27
11790,2016,Staten Island Community Board 1,Household Population,180086.56
11791,2017,Staten Island Community Board 1,Household Population,181495.8
11792,2018,Staten Island Community Board 1,Household Population,182916.05
11793,2019,Staten Island Community Board 1,Household Population,184347.42
11794,2020,Staten Island Community Board 1,Household Population,185790.0
11795,2021,Staten Island Community Board 1,Household Population,187243.86
11796,2022,Staten Island Community Board 1,Household Population,188709.11
11797,2023,Staten Island Community Board 1,Household Population,190185.81
11798,2024,Staten Island Community Board 1,Household Population,191674.08
11799,2006,Staten Island Community Board 1,Housing Units,64018.812
11800,2007,Staten Island Community Board 1,Housing Units,64366.76
11801,2008,Staten Island Community Board 1,Housing Units,64716.605
11802,2009,Staten Island Community Board 1,Housing Units,65068.348
11803,2010,Staten Island Community Board 1,Housing Units,65422.0
11804,2011,Staten Island Community Board 1,Housing Units,65777.58
11805,2012,Staten Island Community Board 1,Housing Units,66135.086
11806,2013,Staten Island Community Board 1,Housing Units,66494.54
11807,2014,Staten Island Community Board 1,Housing Units,66855.945
11808,2015,Staten Island Community Board 1,Housing Units,67219.31
11809,2016,Staten Island Community Board 1,Housing Units,67584.66
11810,2017,Staten Island Community Board 1,Housing Units,67951.984
11811,2018,Staten Island Community Board 1,Housing Units,68321.31
11812,2019,Staten Island Community Board 1,Housing Units,68692.65
11813,2020,Staten Island Community Board 1,Housing Units,69066.0
11814,2021,Staten Island Community Board 1,Housing Units,69441.38
11815,2022,Staten Island Community Board 1,Housing Units,69818.805
11816,2023,Staten Island Community Board 1,Housing Units,70198.27
11817,2024,Staten Island Community Board 1,Housing Units,70579.81
11818,2006,Staten Island Community Board 1,Occupied Housing,59017.152
11819,2007,Staten Island Community Board 1,Occupied Housing,59421.688
11820,2008,Staten Island Community Board 1,Occupied Housing,59828.992
11821,2009,Staten Island Community Board 1,Occupied Housing,60239.09
11822,2010,Staten Island Community Board 1,Occupied Housing,60652.0
11823,2011,Staten Island Community Board 1,Occupied Housing,61067.74
11824,2012,Staten Island Community Board 1,Occupied Housing,61486.33
11825,2013,Staten Island Community Board 1,Occupied Housing,61907.785
11826,2014,Staten Island Community Board 1,Occupied Housing,62332.133
11827,2015,Staten Island Community Board 1,Occupied Housing,62759.39
11828,2016,Staten Island Community Board 1,Occupied Housing,63189.574
11829,2017,Staten Island Community Board 1,Occupied Housing,63622.707
11830,2018,Staten Island Community Board 1,Occupied Housing,64058.81
11831,2019,Staten Island Community Board 1,Occupied Housing,64497.9
11832,2020,Staten Island Community Board 1,Occupied Housing,64940.0
11833,2021,Staten Island Community Board 1,Occupied Housing,65385.133
11834,2022,Staten Island Community Board 1,Occupied Housing,65833.31
11835,2023,Staten Island Community Board 1,Occupied Housing,66284.57
11836,2024,Staten Island Community Board 1,Occupied Housing,66738.914
11837,2006,Staten Island Community Board 1,Other Population,743.79034
11838,2007,Staten Island Community Board 1,Other Population,798.0997
11839,2008,Staten Island Community Board 1,Other Population,856.3745
11840,2009,Staten Island Community Board 1,Other Population,918.90436
11841,2010,Staten Island Community Board 1,Other Population,986.0
11842,2011,Staten Island Community Board 1,Other Population,1057.9948
11843,2012,Staten Island Community Board 1,Other Population,1135.2463
11844,2013,Staten Island Community Board 1,Other Population,1218.1387
11845,2014,Staten Island Community Board 1,Other Population,1307.0834
11846,2015,Staten Island Community Board 1,Other Population,1402.5227
11847,2016,Staten Island Community Board 1,Other Population,1504.9307
11848,2017,Staten Island Community Board 1,Other Population,1614.8163
11849,2018,Staten Island Community Board 1,Other Population,1732.7252
11850,2019,Staten Island Community Board 1,Other Population,1859.2437
11851,2020,Staten Island Community Board 1,Other Population,1995.0
11852,2021,Staten Island Community Board 1,Other Population,2140.669
11853,2022,Staten Island Community Board 1,Other Population,2296.974
11854,2023,Staten Island Community Board 1,Other Population,2464.6921
11855,2024,Staten Island Community Board 1,Other Population,2644.6567
11856,2006,Staten Island Community Board 1,Population,170483.03
11857,2007,Staten Island Community Board 1,Population,171786.27
11858,2008,Staten Island Community Board 1,Population,173099.44
11859,2009,Staten Island Community Board 1,Population,174422.66
11860,2010,Staten Island Community Board 1,Population,175756.0
11861,2011,Staten Island Community Board 1,Population,177099.53
11862,2012,Staten Island Community Board 1,Population,178453.33
11863,2013,Staten Island Community Board 1,Population,179817.47
11864,2014,Staten Island Community Board 1,Population,181192.05
11865,2015,Staten Island Community Board 1,Population,182577.14
11866,2016,Staten Island Community Board 1,Population,183972.81
11867,2017,Staten Island Community Board 1,Population,185379.14
11868,2018,Staten Island Community Board 1,Population,186796.23
11869,2019,Staten Island Community Board 1,Population,188224.16
11870,2020,Staten Island Community Board 1,Population,189663.0
11871,2021,Staten Island Community Board 1,Population,191112.84
11872,2022,Staten Island Community Board 1,Population,192573.77
11873,2023,Staten Island Community Board 1,Population,194045.84
11874,2024,Staten Island Community Board 1,Population,195529.19
11875,2006,Staten Island Community Board 1,Under 18 Population,45248.41
11876,2007,Staten Island Community Board 1,Under 18 Population,45173.875
11877,2008,Staten Island Community Board 1,Under 18 Population,45099.46
11878,2009,Staten Island Community Board 1,Under 18 Population,45025.168
11879,2010,Staten Island Community Board 1,Under 18 Population,44951.0
11880,2011,Staten Island Community Board 1,Under 18 Population,44876.953
11881,2012,Staten Island Community Board 1,Under 18 Population,44803.027
11882,2013,Staten Island Community Board 1,Under 18 Population,44729.227
11883,2014,Staten Island Community Board 1,Under 18 Population,44655.547
11884,2015,Staten Island Community Board 1,Under 18 Population,44581.984
11885,2016,Staten Island Community Board 1,Under 18 Population,44508.547
11886,2017,Staten Island Community Board 1,Under 18 Population,44435.23
11887,2018,Staten Island Community Board 1,Under 18 Population,44362.03
11888,2019,Staten Island Community Board 1,Under 18 Population,44288.957
11889,2020,Staten Island Community Board 1,Under 18 Population,44216.0
11890,2021,Staten Island Community Board 1,Under 18 Population,44143.164
11891,2022,Staten Island Community Board 1,Under 18 Population,44070.45
11892,2023,Staten Island Community Board 1,Under 18 Population,43997.85
11893,2024,Staten Island Community Board 1,Under 18 Population,43925.375
11894,2006,Staten Island Community Board 1,White Population,72523.49
11895,2007,Staten Island Community Board 1,White Population,71761.96
11896,2008,Staten Island Community Board 1,White Population,71008.42
11897,2009,Staten Island Community Board 1,White Population,70262.8
11898,2010,Staten Island Community Board 1,White Population,69525.0
11899,2011,Staten Island Community Board 1,White Population,68794.95
11900,2012,Staten Island Community Board 1,White Population,68072.57
11901,2013,Staten Island Community Board 1,White Population,67357.77
11902,2014,Staten Island Community Board 1,White Population,66650.484
11903,2015,Staten Island Community Board 1,White Population,65950.62
11904,2016,Staten Island Community Board 1,White Population,65258.1
11905,2017,Staten Island Community Board 1,White Population,64572.86
11906,2018,Staten Island Community Board 1,White Population,63894.812
11907,2019,Staten Island Community Board 1,White Population,63223.883
11908,2020,Staten Island Community Board 1,White Population,62560.0
11909,2021,Staten Island Community Board 1,White Population,61903.09
11910,2022,Staten Island Community Board 1,White Population,61253.074
11911,2023,Staten Island Community Board 1,White Population,60609.887
11912,2024,Staten Island Community Board 1,White Population,59973.45
11913,2006,Staten Island Community Board 2,Asian Population,12014.68
11914,2007,Staten Island Community Board 2,Asian Population,12691.831
11915,2008,Staten Island Community Board 2,Asian Population,13407.148
11916,2009,Staten Island Community Board 2,Asian Population,14162.78
11917,2010,Staten Island Community Board 2,Asian Population,14961.0
11918,2011,Staten Island Community Board 2,Asian Population,15804.208
11919,2012,Staten Island Community Board 2,Asian Population,16694.94
11920,2013,Staten Island Community Board 2,Asian Population,17635.873
11921,2014,Staten Island Community Board 2,Asian Population,18629.838
11922,2015,Staten Island Community Board 2,Asian Population,19679.822
11923,2016,Staten Island Community Board 2,Asian Population,20788.984
11924,2017,Staten Island Community Board 2,Asian Population,21960.66
11925,2018,Staten Island Community Board 2,Asian Population,23198.371
11926,2019,Staten Island Community Board 2,Asian Population,24505.842
11927,2020,Staten Island Community Board 2,Asian Population,25887.0
11928,2021,Staten Island Community Board 2,Asian Population,27346.002
11929,2022,Staten Island Community Board 2,Asian Population,28887.232
11930,2023,Staten Island Community Board 2,Asian Population,30515.328
11931,2024,Staten Island Community Board 2,Asian Population,32235.186
11932,2006,Staten Island Community Board 2,Average Household Size,2.6909964
11933,2007,Staten Island Community Board 2,Average Household Size,2.7006948
